channelNumber;id;NavStatus;SlotOffset;SlotNumber;STO;SlotIncrement;KeepFlag;TS;Lat;Lon;Sog;thresholdSog;Course;Heading;ChangeHeading;RepeatIndicator;SpecialManoeuvre;AISVersion;toa;DiffToa
2;1;0;-1;-1;1;-1;-1;2133;48.109246666666664;-5.482328333333333;12.399999618530273;2;94.4000015258789;96;0;0;0;-1;547261.097290038;0.0
1;1;0;-1;1790;4;-1;-1;1790;48.108381666666666;-5.4321;11.699999809265137;2;95.19999694824219;95;0;0;0;-1;547851.95626831;590.859
1;1;0;-1;1055;4;-1;-1;1055;48.1083;-5.428836666666666;11.899999618530273;2;90.69999694824219;92;0;0;0;-1;547892.357086182;40.4008
1;1;0;2291;-1;0;-1;-1;272;48.108311666666665;-5.420525;12.0;2;89.69999694824219;96;0;0;0;-1;547991.476654052;99.1196
2;1;0;2217;-1;0;-1;-1;1436;48.108201666666666;-5.4180166666666665;11.899999618530273;2;96.30000305175781;98;0;0;0;-1;548022.498199463;31.0215
1;5;-1;-1;-1;-1;-1;-1;1442;-1;-1;-1;2;-1;-1;-1;-1;-1;0;548022.676452636;0.1783
1;1;0;-1;-1;1;-1;-1;1790;48.108155;-5.417305;11.600000381469727;2;96.19999694824219;97;0;0;0;-1;548031.939086913;9.2626
2;1;0;2260;-1;0;-1;-1;2188;48.108061666666664;-5.416393333333334;12.100000381469727;2;98.4000015258789;96;0;0;0;-1;548042.556793212;10.6177
2;1;0;-1;-1;1;-1;-1;631;48.107971666666664;-5.414911666666667;11.899999618530273;2;93.80000305175781;95;0;0;0;-1;548061.036437987;18.4796
2;1;0;-1;-1;5;-1;-1;1403;48.10763;-5.408203333333334;12.199999809265137;2;96.69999694824219;95;0;0;0;-1;548141.617889404;80.5815
2;1;0;-1;2198;6;-1;-1;2197;48.10754166666667;-5.406523333333333;11.600000381469727;2;92.9000015258789;94;0;0;0;-1;548162.81777954;21.1999
2;1;0;-1;-1;7;-1;-1;677;48.10746833333334;-5.404991666666667;11.800000190734863;2;93.9000015258789;94;0;0;0;-1;548182.257843017;19.4401
1;1;0;-1;-1;3;-1;-1;1030;48.10743166666666;-5.404176666666666;11.899999618530273;2;94.19999694824219;93;0;0;0;-1;548191.676757811;9.4189
2;1;0;-1;677;6;-1;-1;677;48.10731;-5.4000216666666665;12.199999809265137;2;90.30000305175781;92;0;0;0;-1;548242.283203124;50.6064
1;1;0;-1;1030;2;-1;-1;1030;48.107285;-5.3992716666666665;12.100000381469727;2;92.9000015258789;90;0;0;0;-1;548251.676696776;9.3935
2;1;0;-1;-1;5;-1;-1;677;48.10722;-5.394868333333333;12.300000190734863;2;89.5999984741211;94;0;0;0;-1;548302.25805664;50.5814
1;1;0;-1;1761;2;-1;-1;1761;48.10713;-5.392565;12.100000381469727;2;93.69999694824219;93;0;0;0;-1;548331.178466797;28.9204
2;1;0;-1;-1;3;-1;-1;2198;48.10709833333333;-5.3915733333333336;11.800000190734863;2;92.19999694824219;94;0;0;0;-1;548342.84274292;11.6643
2;1;0;-1;-1;3;-1;-1;678;48.106928333333336;-5.385036666666666;12.0;2;88.19999694824219;93;0;0;0;-1;548422.283843993;79.4411
1;1;0;-1;1074;4;-1;-1;1074;48.106905;-5.38421;12.100000381469727;2;90.80000305175781;93;0;0;0;-1;548432.86074829;10.5769
1;1;0;2253;-1;0;-1;-1;1761;48.106876666666665;-5.382626666666667;12.199999809265137;2;91.5;93;0;0;0;-1;548451.177246093;18.3165
1;1;0;2196;-1;0;-1;-1;313;48.106825;-5.380818333333333;11.699999809265137;2;93.0999984741211;93;0;0;0;-1;548472.557708739;21.3805
2;1;0;-1;677;2;-1;-1;677;48.106805;-5.380063333333333;12.199999809265137;2;92.0999984741211;94;0;0;0;-1;548482.257873535;9.7002
